[669258.4434578787, 3548806.7061124993]
[669230.9823884786, 3553108.65044765]
[665894.3276390417, 3538322.2682063067]
[681849.2349822363, 3560524.428890325]
[670691.2697128523, 3540347.8473429563]
[665262.9822406996, 3567780.5696915146]
[672183.13232545, 3554473.3761614677]
[670103.6607137009, 3553034.557163398]
[679004.2531872244, 3550088.6882304363]
[660845.3569950764, 3544955.4639293384]
[680333.5475430563, 3548252.879642623]
[671568.2546330255, 3562586.555072592]
[664702.2556012382, 3551084.2688461537]
[665664.8212733561, 3546116.5656276857]
[666998.668402194, 3542754.6558613107]
[670040.2355950121, 3542691.9783713953]
[662004.4113952366, 3539074.1265851143]
[669380.0338822488, 3548864.535134819]
[651585.0706690627, 3541580.6957870442]
[673722.9015862659, 3531132.5687220637]
[676012.6701532358, 3561999.740242575]
[671261.6510280631, 3562635.895791359]
[676456.9332289873, 3536463.075957752]
[669380.0338822488, 3548864.535134819]
[672812.5212208217, 3558416.0187963345]
[678819.7009697657, 3559079.741942878]
[666374.9069562797, 3546347.4150398844]
[677676.2612958372, 3554925.4443730977]
[671584.1232861963, 3562587.293847498]
[671078.0788272481, 3556601.702868145]
[670254.3104701138, 3554152.247887358]
[672866.5138177616, 3539050.5519184666]
[667209.1636210638, 3544033.96858522]
[669380.0338822488, 3548864.535134819]
[679580.6693303344, 3548818.755892717]
[668571.2578995565, 3546612.147406147]
[675929.3290195673, 3549707.727251926]
[667569.4001087495, 3555365.674179296]
[662874.1873212614, 3550299.841443893]
[678495.7733626803, 3549278.895303848]
[676697.656307144, 3535792.85661756]
[673705.315276599, 3556728.709468979]
[671504.0990090244, 3556077.248105088]
[668385.8509817987, 3539694.7877030945]
[662129.0299975532, 3544953.7904976285]
[669380.0338822488, 3548864.535134819]
[669380.0338822488, 3548864.535134819]
[671568.2546330255, 3562586.555072592]
[668439.7716226559, 3547623.222171997]
[664053.6722269014, 3553263.604364055]
[669133.3500657075, 3546243.0082833036]
[668261.3897402688, 3533934.464894947]
[672543.9718277148, 3556367.498648706]
[665587.2854691816, 3555173.0072809765]
[671261.6510280631, 3562635.895791359]
[669380.0338822488, 3548864.535134819]
[666938.0278058979, 3543459.2892798386]
[673901.7406771522, 3547782.8496924904]
[674790.7351182988, 3556176.9998171553]
[665663.4089085892, 3555539.602181603]
[667719.5522147871, 3550986.224151063]
[669380.0338822488, 3548864.535134819]
[669380.0338822488, 3548864.535134819]
[672439.3572062594, 3535542.3748507104]
[668029.5522018594, 3545516.807539067]
[673600.8358739568, 3545323.0443413504]
[653102.9458638701, 3549641.2956103906]
[663704.5293550516, 3542866.3045079694]
[669380.0338822488, 3548864.535134819]
[678624.6210123303, 3551439.467021045]
[674175.0883881955, 3535165.8574016457]
[669380.0338822488, 3548864.535134819]
[650432.567959805, 3545852.611654352]
[667893.7428716742, 3546769.376969298]
[659442.9735693379, 3541532.559550002]
[667048.5201575262, 3546541.426553307]
[661763.6073711491, 3538743.5230251793]
[669380.0338822488, 3548864.535134819]
[678302.0247907278, 3559429.136862336]
[668391.4788980918, 3556043.655624376]
[669380.0338822488, 3548864.535134819]
[667310.3028819354, 3550434.595033026]
[674448.0683670822, 3544268.315777639]
[662036.0699422386, 3538218.131456459]
[677750.4394391612, 3553583.731841369]
[666320.8083177921, 3548238.507152011]
[666320.8083177921, 3548238.507152011]
[658489.8457353547, 3537464.9609357393]
[680502.2501270159, 3553461.990569271]
[673047.4106222058, 3547955.28747566]
[663644.40483904, 3552864.5713828853]
[669380.0338822488, 3548864.535134819]
[671201.9212996592, 3551687.750571361]
[664850.0925383214, 3543308.7423678604]
[667987.7320800672, 3550656.9815673586]
